grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
6421200,6,21,AA,RUNKAMPEN,NL,51.68,5.38,750,4,1978,1985,8,1.916495551,1978,1982,5,0,1978,1985,8,6.683,6.683,6.683
6935220,6,35,AACH,SALMSACH (HUNGERBUEHL),CH,47.5504,9.3572,48.5,452.153,1961,2016,56,0,,,,,1961,2016,56,0.754,0.754,0.754
6935020,6,35,AARE,BERN-SCHOENAU,CH,46.9331,7.448,2945,551.66,1917,2016,100,0,1961,1993,33,0,1917,2016,100,122.19,122.19,122.19
6935300,6,35,AARE,"UNTERSIGGENTHAL, STILLI",CH,47.5166,8.2348,17601,373.41,1904,2016,113,0,1961,1993,33,0,1904,2016,113,558.224,558.224,558.224
6935301,6,35,AARE,BRUGG,CH,47.4825,8.1949,11726,379.54,1916,2016,101,0,,,,,1916,2016,101,314.091,314.091,314.091
6935302,6,35,AARE,MURGENTHAL,CH,47.2666,7.8306,10119,447.454,1916,2016,101,0,,,,,1916,2016,101,285.763,285.763,285.763
5985200,5,85,AASU STREAM,"AASU, TUTUILA",AS,-14.28,-170.75,2.6,2,1982,1983,2,0,,,,,1982,1983,2,n.a.,n.a.,n.a.
1926550,1,26,"ABADE, RIO",BOMBAIM,ST,0.25,6.65,11.8,500,,,,,1980,1989,10,11.30434783,1980,1989,10,0.096,0.096,0.096
1926800,1,26,"ABADE, RIO",AGUA-IZE,ST,0.23,6.73,36.5,58,1988,1989,2,0,1980,1989,10,18.10344828,1980,1989,10,0.92,0.92,0.92
1258150,1,58,ABA-HUAB,ROOIBERG (64735002),,-20.477,14.588,1570,740,1974,2018,45,6.951265584,,,,,1974,2018,45,0.115,0.115,0.115
2909260,2,9,ABAKAN,RAYKOV,RU,53.58,91.25,31300,-999,,,,,1953,2015,63,6.425702811,1953,2015,63,393.653,393.653,393.653
2909261,2,9,ABAKAN,ABAZA,RU,52.65,90.1,14400,-999,,,,,1932,1999,68,6.37254902,1932,1999,68,307.186,307.186,307.186
2909262,2,9,ABAKAN,UST'-KIZAS,RU,52.5,89.25,8300,-999,,,,,1966,1970,5,6,1966,1970,5,226.009,226.009,226.009
2908036,2,8,ABAN,ABAN,RU,56.7,96.03,325,-999,,,,,1978,1988,11,1.550387597,1978,1988,11,0.789,0.789,0.789
2587230,2,87,ABASHIRI GAWA,HONGO,JP,43.895,144.136667,1120.4,-999,1993,2003,11,27.28404282,1993,1998,6,0,1993,2003,11,20.168,20.168,20.168
3274030,3,74,"ABAUCAN, RIO",TINOGASTA,AR,-28.08,-67.58,14000,1200,,,,,1919,1956,38,0,1919,1956,38,2.543,2.543,2.543
6373050,6,73,ABAVA,RENDA,LV,57.2,27.05,1830,19,1986,1995,10,50,,,,,1986,1995,10,14.636,14.636,14.636
2910487,2,10,ABAY,ABAY,RU,50.43,85.08,726,-999,,,,,1963,1994,32,1.837270341,1963,1994,32,3.317,3.317,3.317
2588900,2,88,ABE KAWA,TEGOSHI,JP,34.96,138.37,537.3,-999,1993,2003,11,11.72516804,1993,2000,8,7.291666667,1993,2003,11,25.7,25.7,25.7
5204120,5,4,ABERCROMBIE RIVER,HADLEY NO.2,AU,-34.1139,149.5967,1629.7,584,1960,2011,52,1.181668175,1960,2000,41,0.621118012,1960,2011,52,5.36,5.36,5.36
5204121,5,4,ABERCROMBIE RIVER,ABERCROMBIE,AU,-33.9567,149.3233,2630.7,426,1930,2011,82,0.737258615,,,,,1930,2011,82,8.485,8.485,8.485
1309550,1,9,"ABID, OUED EL",AIT OUCHENE,MA,32.25,-6.08,2350,1070,,,,,1980,1984,5,0,1980,1984,5,3.034,3.034,3.034
6232100,6,32,ABISKOJAKKA,NEDRE ABISKOJOKKA,SE,68.36,18.81,3294,341,1918,1998,81,0,1918,1998,81,0,1918,1998,81,62.936,62.936,62.936
6232101,6,32,ABISKOJAKKA,ABISKO,SE,68.35,18.82,3345.5,-999,1918,2019,102,0.043351035,1984,2018,35,0,1918,2019,102,63.531,63.531,63.531
6232916,6,32,ABISKOJAKKA,OVRE ABISKOJOKKA,SE,68.36,18.78,566.3,-999,1985,2018,34,0,1985,2018,34,0,1985,2018,34,14.355,14.355,14.355
4208433,4,8,ABITAU RIVER,ABOVE CUMING LAKE,CA,59.999443,-108.77333,3780,-999,1988,2017,30,56.04599407,1988,1993,6,0,1988,2017,30,16.617,16.617,16.617
4214515,4,14,ABITIBI RIVER,ABITIBI CANYON,CA,49.8819,-81.5667,22900,-999,1929,1994,66,3.675,,,,,1929,1994,66,300.342,300.342,300.342
4214555,4,14,ABITIBI RIVER,ONAKAWANA,CA,50.6,-81.41,27500,-999,1959,2017,59,17.15990229,,,,,1959,2017,59,388.802,388.802,388.802
6342081,6,42,ABLACH,MENNINGEN,DE,48.01,9.16,199.6,592.6,1952,2016,65,0.739095142,,,,,1952,2016,65,1.366,1.366,1.366
2311523,2,11,ABLAKETKA,BASOVA,KZ,49.88,82.73,1680,-999,,,,,1962,1982,21,0.81300813,1962,1982,21,4.845,4.845,4.845
6731187,6,31,ABOGSTJONNBEKKEN,ABOGSTJONN NDF,NO,59.06,8.3,1.1,620,1973,1997,25,0,,,,,1973,1997,25,0.03,0.03,0.03
5654140,5,54,ABRA RIVER,"BUMAGCAT,TAYUM",PH,17.62,120.73,2575,16,1983,1988,6,3.387978142,1984,1988,5,3.333333333,1983,1988,6,234.019,234.019,234.019
2588650,2,88,ABUKUMA GAWA,IWANUMA,JP,38.09,140.87,5265,-999,1986,1986,1,0,1986,1986,1,0,1986,1986,1,151.748,151.748,151.748
2588651,2,88,ABUKUMA GAWA,TATEYAMA,JP,37.923056,140.756944,4132.5,-999,1993,2003,11,0.149365198,1993,2000,8,0,1993,2003,11,124.82,124.82,124.82
2588652,2,88,ABUKUMA GAWA,FUSHIGURO,JP,37.825556,140.524167,3663.4,-999,1993,2003,11,1.194921583,1993,2000,8,0,1993,2003,11,106.504,106.504,106.504
2588653,2,88,ABUKUMA GAWA,MOTOMIYA,JP,37.512222,140.409444,2283.5,-999,1993,2003,11,0,1993,2000,8,0,1993,2003,11,64.769,64.769,64.769
2588654,2,88,ABUKUMA GAWA,SUKAGAWA,JP,37.297778,140.393333,910.2,-999,1993,2003,11,0,1993,2000,8,0,1993,2003,11,25.575,25.575,25.575
3627060,3,27,"ABUNA, RIO",MORADA NOVA-JUSANTE,BR,-9.7847,-65.5275,31000,-999,1988,2006,19,5.031172974,,,,,1988,2006,19,647.648,647.648,647.648
4356050,4,56,ACAPONETA,ACAPONETA,MX,22.4833,-105.325,5092,31,1945,2002,58,0,1976,1979,4,0,1945,2002,58,42.448,42.448,42.448
3650525,3,50,"ACARAU, RIO",SOBRAL,BR,-3.68,-40.35,11160,-999,1911,1962,52,18.29499323,1911,1999,89,25.401322,1911,1999,89,55.484,55.484,55.484
3650526,3,50,"ACARAU, RIO",FAZENDA CAJAZEIRAS,BR,-4.3775,-40.5492,1550,190,1962,2009,48,0.4048583,1962,1993,32,0.789473684,1962,2009,48,7.008,7.008,7.008
3627900,3,27,"ACARI, RIO",ACARI BR-230,BR,-7.1014,-59.6833,4970,-999,1984,2010,27,12.5735145,,,,,1984,2010,27,192.719,192.719,192.719
4208175,4,8,ACASTA RIVER,ABOVE LITTLE CRAPEAU LAKE,CA,64.875557,-116.14167,2280,-999,1980,1994,15,0,1980,1993,14,0,1980,1994,15,11.731,11.731,11.731
3206100,3,6,"ACEQUIA, RIO",PUENTE LA ACEQUIA,VE,8.39,-70.68,478,180,1978,1988,11,0,1978,1988,11,0,1978,1988,11,47.295,47.295,47.295
6261150,6,61,ACHELOOS POTAMOS,AYIOS NIKOLAOS (KREMASTA),GR,38.883335,21.566668,-999,-999,,,,,1973,1975,3,0,1973,1975,3,109.023,109.023,109.023
6261200,6,61,ACHELOOS POTAMOS,AVLAKION,GR,39.1575,21.385,1349,304,1978,1980,3,0.091240876,1977,1991,15,0,1977,1991,15,66.842,66.842,66.842
6335570,6,35,ACHER,KAPPELRODECK,DE,48.584384,8.125898,53.4,-999,1971,2016,46,0,,,,,1971,2016,46,2.063,2.063,2.063
5304090,5,4,ACHERON RIVER,TAGGERTY,AU,-37.3233,145.71,629.4,207,1951,2011,61,0,,,,,1951,2011,61,9.757,9.757,9.757
6233460,6,33,ACKLINGEN,AECKLINGEN,SE,63.73,13.01,155.8,-999,1938,2019,82,0,1938,2018,81,0,1938,2019,82,6.386,6.386,6.386
6233420,6,33,ACKSJOBACKEN,ACKSJOEN NEDRE,SE,59.1,17.37,0.8,-999,1969,2018,50,8.602562698,,,,,1969,2018,50,0.007,0.007,0.007
3625100,3,25,"ACRE, RIO",BRASILEIA,BR,-10.9997,-68.7617,6712,-999,1982,2010,29,5.063415593,1982,1993,12,0,1982,2010,29,122.868,122.868,122.868
3625110,3,25,"ACRE, RIO",ASSIS BRAZIL,BR,-10.9436,-69.5656,4241,-999,1982,2010,29,15.34176737,,,,,1982,2010,29,121.259,121.259,121.259
3625140,3,25,"ACRE, RIO",XAPURI,BR,-10.6514,-68.5061,7579.4,-999,1967,2010,44,12.91786513,,,,,1967,2010,44,209.015,209.015,209.015
3625150,3,25,"ACRE, RIO",RIO BRANCO,BR,-9.975,-67.8008,22670,-999,1967,2010,44,5.154111779,1967,1993,27,3.93442623,1967,2010,44,348.549,348.549,348.549
3625160,3,25,"ACRE, RIO",FLORIANO PEIXOTO,BR,-9.0667,-67.3969,33469,-999,1967,2010,44,6.618962433,,,,,1967,2010,44,590.258,590.258,590.258
2910375,2,10,ADADYM,NAZAROVO,RU,56.03,90.45,142,-999,,,,,1977,1998,22,43.89312977,1977,1998,22,0.509,0.509,0.509
6983400,6,83,ADAGUM,KRYMSK,RU,44.923333,37.980556,328,-999,1978,1987,10,0.876232202,1978,1987,10,0,1978,1987,10,2.191,2.191,2.191
4208773,4,8,ADAMS CREEK,NEAR KINUSO,CA,55.218056,-115.33444,138,-999,1977,1995,19,31.69365824,1978,1993,16,31.91489362,1977,1995,19,n.a.,n.a.,n.a.
4207850,4,7,ADAMS RIVER,NEAR SQUILAX,CA,50.938332,-119.65444,3080,-999,1911,2017,107,5.638202535,1911,1996,86,6.188605108,1911,2017,107,71.418,71.418,71.418
6348600,6,48,"ADDA, FIUME",LAVELLO,IT,45.7834,9.4359,-999,-999,1946,2002,57,0,,,,,1946,2002,57,160.062,160.062,160.062
5708160,5,8,ADELAIDE RIVER,DIRTY LAGOON,AU,-12.91,131.2345,4325,29.4,1962,2007,46,18.9667762,1962,2001,40,28.63340564,1962,2007,46,10.707,10.707,10.707
5204155,5,4,ADELONG CREEK,BATLOW ROAD,AU,-35.3323,148.0685,146.1,358,1957,2011,55,0.02019896,,,,,1957,2011,55,1.089,1.089,1.089
6349200,6,49,"ADIGE, FIUME",BRONZOLO (BRANZOLL),IT,46.400002,11.316667,6926,227,1975,1990,16,0,1975,1990,16,0,1975,1990,16,146.781,146.781,146.781
6349300,6,49,"ADIGE, FIUME",TRENTO,IT,46.066666,11.133333,9763,186.1,1955,1981,27,0.020279862,1955,1981,27,0,1955,1981,27,209.433,209.433,209.433
6349500,6,49,"ADIGE, FIUME",BOARA PISANI,IT,45.1,11.82,11954,9,1980,1984,5,0,1922,1979,58,1.724137931,1922,1984,63,193.735,193.735,193.735
4208308,4,8,ADSETT CREEK,KM 386 ALASKA HIGHWAY,CA,58.10611,-122.71555,109,-999,1983,2014,32,0,1983,1993,11,0,1983,2014,32,0.815,0.815,0.815
1566260,1,66,ADURA,AT OFFTAKE FROM BARO,ET,8.387658,33.689268,-999,-999,,,,,1946,1947,2,50,1946,1947,2,n.a.,n.a.,n.a.
1566261,1,66,ADURA,D/S MAKWAI MOUTH,ET,8.126885,33.542763,-999,-999,,,,,1946,1947,2,60,1946,1947,2,n.a.,n.a.,n.a.
2998470,2,98,ADYCHA,YURDUK-KUMAH,RU,68.02,135.27,89600,-999,,,,,1937,1999,63,11.11111111,1937,1999,63,548.524,548.524,548.524
2998471,2,98,ADYCHA,OIUN-HOMOTO,RU,67.33,135.6,65500,-999,,,,,1942,1999,58,28.9017341,1942,1999,58,362.804,362.804,362.804
2998472,2,98,ADYCHA,UST'-CHARKY,RU,66.8,136.68,52800,-999,,,,,1943,2015,73,41.28440367,1943,2015,73,310.217,310.217,310.217
6970855,6,70,ADZ'VA,SALYUKUVOM,RU,66.7,59.2,14700,-999,,,,,1953,1959,7,0,1953,1959,7,108.558,108.558,108.558
6970856,6,70,ADZ'VA,KHARUTA,RU,66.845001,59.536251,8700,-999,,,,,1960,1998,39,1.50862069,1960,1998,39,109.414,109.414,109.414
6118030,6,18,AFF,PAIMPONT (PONT DU SECRET),FR,47.981631,-2.143762,30.2,119.01,1968,2012,45,0,,,,,1968,2012,45,0.237,0.237,0.237
2416740,2,16,AFLATUN,AFLATUN,KG,41.6,71.98,863,2000,,,,,1933,1980,48,24.30555556,1933,1980,48,10.371,10.371,10.371
2910160,2,10,AGAN,AGAN,RU,61.63,75.08,29700,-999,,,,,1960,1987,28,30.05952381,1960,1987,28,275.394,275.394,275.394
2910161,2,10,AGAN,VAR-AGAN,RU,62,76.88,15500,-999,,,,,1954,1991,38,32.01754386,1954,1991,38,121.6,121.6,121.6
2589550,2,89,AGANO GAWA,MAOROSHI,JP,37.736111,139.272222,6997,-999,1986,2003,18,33.37389717,1986,2000,15,40,1986,2003,18,404.377,404.377,404.377
2589551,2,89,AGANO GAWA,YAMASHINA,JP,36.61,139.82,2714.9,-999,1993,2003,11,0,1993,2000,8,0,1993,2003,11,114.238,114.238,114.238
2589552,2,89,AGANO GAWA,OYA,JP,37.38,139.93,868,-999,1993,2003,11,4.356484939,1993,2000,8,4.166666667,1993,2003,11,37.751,37.751,37.751
6731550,6,31,AGARDSELVA,OEYUNGEN,NO,64.25,11.08,237,103,1916,2015,100,0,,,,,1916,2015,100,12.346,12.346,12.346
2910384,2,10,AGATA,NOVOALEKSANDROVKA,RU,55.6,90.65,77.4,-999,,,,,1962,1998,37,13.69863014,1962,1998,37,0.664,0.664,0.664
2588561,2,88,AGATSUMA GAWA,MURAKAMI,JP,36.547778,138.925,1239,-999,1993,2003,11,0,1993,2000,8,0,1993,2003,11,27.053,27.053,27.053
6335048,6,35,AGGER,LOHMAR,DE,50.85,7.2,788,58.61,1990,2011,22,0,,,,,1990,2011,22,16.315,16.315,16.315
2911162,2,11,AGITKA,URTI MITKINSKY,RU,57.8,69.5,3430,-999,,,,,1957,1990,34,0.75,1957,1990,34,7.363,7.363,7.363
6573446,6,73,AGLUONA,DIRVONAKIAI,LT,56.1471,24.7809,-999.9,-999,1986,1993,8,65.16424752,,,,,1986,1993,8,0.366,0.366,0.366
1426600,1,26,AGNEBI,AGBOVILLE,CI,5.97,-4.21,4600,-999,1979,1993,15,80.0146012,1979,1982,4,50,1979,1993,15,5.161,5.161,5.161
5654400,5,54,AGNO RIVER,CARMEN,PH,15.9,120.6,2209,-999,,,,,1969,1977,9,8.333333333,1969,1977,9,166.831,166.831,166.831
6125310,6,25,AGOUT,FRAISSE-SUR-AGOUT,FR,43.617946,2.811669,48,849.74,1951,2009,59,0,,,,,1951,2009,59,1.57,1.57,1.57
3629700,3,29,"AGUA VERDE, RIO",LUCAS DO RIO VERDE,BR,-13.0511,-55.8903,5635,373,1973,2007,35,19.08099068,1978,1994,17,43.1372549,1973,2007,35,122.982,122.982,122.982
3662700,3,62,"AGUAPEI, RIO",SALTO CARLOS BOTELHO,BR,-21.45,-50.91667,5544,-999,1969,1978,10,0.027382256,1969,1978,10,0.833333333,1969,1978,10,73.763,73.763,73.763
1309570,1,9,"AGUENNOUR, ASSIF",TSALAT,MA,33.33,-6.03,690,650,1977,1988,12,0.609756098,1977,1988,12,0.740740741,1977,1988,12,1.385,1.385,1.385
3650765,3,50,"AGUIAR, RIACHO",MAE D'AGUA,BR,-7.07,-38,910,-999,1922,1946,25,0,1922,1946,25,0,1922,1946,25,6.625,6.625,6.625
2909368,2,9,AGUL,AGUL,RU,55.7,95.73,11500,-999,,,,,1955,1999,45,6.666666667,1955,1999,45,136.745,136.745,136.745
1666560,1,66,"AGWEI, RIVER",AT THE MOUTH,SS,7.6333,33.05,-999,-999,,,,,1934,1944,11,50,1934,1944,11,1.036,1.036,1.036
6172260,6,72,AHJA JOGI,KOORVERE,EE,58.209167,27.112222,52.7,288,1960,2017,58,0,,,,,1960,2017,58,6.107,6.107,6.107
6854210,6,54,AHTAVANJOKI,HERRFORS,FI,63.623391,22.881516,2000,3,1965,2015,51,3.140602351,1965,2001,37,3.828828829,1965,2015,51,15.136,15.136,15.136
5868200,5,68,AHURIRI RIVER,SOUTH DIADEM,NZ,-44.475044,169.727906,557,607,1963,2009,47,0.12410614,1963,2009,47,1.261261261,1963,2009,47,23.294,23.294,23.294
5230200,5,30,"AI, BATANG",LUBOK ANTU,MY,1.04,111.82,1300,26,,,,,1981,2000,20,2.916666667,1981,2000,20,116.129,116.129,116.129
3618115,3,18,"AIARI, RIO",LOURO POCO,BR,1.3392,-68.6858,4708,-999,1982,2008,27,2.680154344,,,,,1982,2008,27,318.947,318.947,318.947
6335700,6,35,AICH,OBERENSINGEN,DE,48.67,9.39,178.7,-999,1941,2016,76,2.447641595,,,,,1941,2016,76,1.199,1.199,1.199
6139120,6,39,AIGUES,SAINT-MAY (PONT DE LA TUNE),FR,44.433561,5.297041,49,435.27,1906,1995,90,38.6283921,,,,,1906,1995,90,6.511,6.511,6.511
6128610,6,28,AILLE,VIDAUBAN (LE BAOU),FR,43.394141,6.452907,168,95.01,1968,2008,41,0.312840044,,,,,1968,2008,41,2.195,2.195,2.195
6123630,6,23,"AILLOUX, RUISSEAU",MANGLIEU (MOULIN DE LAVAUR),FR,45.62191,3.357515,73.2,490.16,1967,2008,42,1.114950773,,,,,1967,2008,42,0.632,0.632,0.632
6139500,6,39,AIN,CHAZEY,FR,45.9,5.25,3630,209,1978,1980,3,0,1978,1980,3,0,1978,1980,3,141.777,141.777,141.777
6139501,6,39,AIN,CERNON (VOUGLANS),FR,46.396626,5.665041,1120,378.17,1933,2009,77,0.024890659,,,,,1933,2009,77,40.146,40.146,40.146
6139502,6,39,AIN,MARIGNY (CHALAIN),FR,46.684908,5.766074,650,504.54,1962,2009,48,0,,,,,1962,2009,48,26.941,26.941,26.941
6139700,6,39,AINSON,ST. GEOIRES EN VALDAINE,FR,46.9,5.49,41,-999,1972,1988,17,1.407750911,1972,1988,17,0,1972,1988,17,2.443,2.443,2.443
6605440,6,5,"AIRE, RIVER",KILDWICK BRIDGE,GB,53.90731315,-1.984650905,282.3,87.3,1968,2018,51,0.005494204,,,,,1968,2018,51,6.592,6.592,6.592
4202120,4,2,AISHIHIK RIVER,BELOW AISHIHIK LAKE,CA,61.1844,-136.99,2960,-999,1980,2017,38,0,,,,,1980,2017,38,9.143,9.143,9.143
6122110,6,22,AISNE,MOURON,FR,49.307181,4.782227,2280,146.95,1962,2007,46,0.322129703,,,,,1962,2007,46,24.468,24.468,24.468
6342230,6,42,AITRACH,LAUBEN,DE,47.876632,10.037521,308.1,-999,1938,2016,79,0.066547582,,,,,1938,2016,79,5.346,5.346,5.346
3660900,3,60,"AIURUOCA, RIO",FAZENDA LARANJEIRAS,BR,-21.6925,-44.3483,2083,905,1934,2003,70,0.934798764,1934,1988,55,1.857585139,1934,2003,70,47.43,47.43,47.43
6373218,6,73,AIVIEKSTE,LUBANA,LV,56.69,22.26,6510,88,1980,1999,20,0,,,,,1980,1999,20,41.444,41.444,41.444
6373219,6,73,AIVIEKSTE,AIVIEKSTES HES,LV,56.49,25.89,8660,77,1980,2002,23,0,,,,,1980,2002,23,61.765,61.765,61.765
2589620,2,89,AKA GAWA,HAMANAKA,JP,38.84,139.82,695.1,-999,1993,2003,11,0.0248942,1993,2000,8,1.041666667,1993,2003,11,84.466,84.466,84.466
6196400,6,96,AKAKI,MALOUNDA,CY,35.0375,33.183333,90,350,1965,2002,38,5.401805535,1965,1988,24,27.47252747,1965,2002,38,0.349,0.349,0.349
2910428,2,10,AKALAKHA,BERTEK,RU,49.3,87.62,602,-999,,,,,1963,1980,18,66.82464455,1963,1980,18,n.a.,n.a.,n.a.
2416800,2,16,AKBURA,TULEKEN,KG,40.4,72.87,2430,1118,,,,,1938,1980,43,0,1938,1980,43,20.549,20.549,20.549
2817460,2,17,AKDAR'YA,KHAZARNOVA,UZ,39,67.42,845,998,,,,,1932,1989,58,1.867816092,1932,1989,58,11.515,11.515,11.515
6390050,6,90,AKHURYAN,KAPS,AM,40.866667,43.716667,839,1665,1978,1982,5,0,1978,1982,5,0,1978,1982,5,5.935,5.935,5.935
4208487,4,8,AKIE RIVER,NEAR THE 760 M CONTOUR,CA,57.191113,-124.89889,1700,-999,1981,2016,36,6.280268708,1981,1993,13,0,1981,2016,36,30.735,30.735,30.735
2311325,2,11,AKKANBURLUK,GRIGOR'EVKA,KZ,52.78,66.8,6520,-999,,,,,1938,1987,50,43.04857621,1938,1987,50,6.263,6.263,6.263
2910480,2,10,AKKEM,AKKEM,RU,50.33,86.91,78.9,-999,1978,1987,10,66.18291347,1952,1994,43,36.79060665,1952,1994,43,2.196,2.196,2.196
2909245,2,9,AK-KHEM,AK,RU,51.42,90.45,1610,-999,,,,,1973,1988,16,0,1973,1988,16,11.469,11.469,11.469
6573161,6,73,AKMENA,TUBAUSIAI,LT,55.95,21.28333333,-999.9,-999,1986,1987,2,0,,,,,1986,1987,2,n.a.,n.a.,n.a.
6573163,6,73,AKMENA,KRETINGA,LT,55.88333333,21.23333333,-999.9,-999,1992,2005,14,42.8431756,,,,,1992,2005,14,3.199,3.199,3.199
6574160,6,74,AKMENA,PAAKMENIS,LT,55.4973,22.2854,-999.9,-999,1986,1993,8,65.16424752,,,,,1986,1993,8,4.27,4.27,4.27
1666550,1,66,AKOBO WENZ,AT THE MOUTH,SS,7.7833,33.0667,-999,-999,,,,,1929,1944,16,35.60209424,1929,1944,16,1.533,1.533,1.533
2416660,2,16,AK-SUU,DAZGON,KG,39.82,69.32,712,1100,,,,,1948,1991,44,4.545454545,1948,1991,44,3.12,3.12,3.12
2910448,2,10,AK-TURU,ALP'LAGER AK-TURU,RU,50.08,87.82,33.4,-999,,,,,1971,1994,24,40.14084507,1971,1994,24,0.913,0.913,0.913
6731565,6,31,ALA,ALA,NO,61.13,8.7,47.7,840,1973,1987,15,4.819040126,,,,,1973,1987,15,0.856,0.856,0.856
2415900,2,15,ALAARCHA,MOUTH OF KASHKASU,KG,42.657247,74.498661,233,-999,1978,1987,10,9.994523549,1978,1987,10,10,1978,1987,10,4.451,4.451,4.451
4149400,4,49,ALABAMA RIVER,"CLAIBORNE, ALA.",US,31.5468,-87.5125,56894.5,0.12,1930,1975,46,0,1930,1984,55,5.04587156,1930,1984,55,910.833,910.833,910.833
4149401,4,49,ALABAMA RIVER,CLAIRBORNE L+D NEAR MONROEVILLE,US,31.6115,-87.553,55615.1,-999,1975,2018,44,0.070036929,,,,,1975,2018,44,855.801,855.801,855.801
2312265,2,12,ALABUGA,YASNAYA POLYANA,KZ,54.3,65.13,301,-999,,,,,1958,1981,24,39.4265233,1958,1981,24,n.a.,n.a.,n.a.
4149910,4,49,ALAFIA RIVER,"LITHIA, FLA.",US,27.8722,-82.2112,867.7,2.13,1932,2019,88,0,,,,,1932,2019,88,9.374,9.374,9.374
6123640,6,23,ALAGNON,LEMPDES,FR,45.381425,3.264117,984,503.73,1967,2012,46,6.733619699,,,,,1967,2012,46,11.925,11.925,11.925
6123641,6,23,ALAGNON,JOURSAC (JOURSAC-LE-VIALARD),FR,45.161595,3.028799,310,924.43,1948,2012,65,7.841720503,,,,,1948,2012,65,6.391,6.391,6.391
6172030,6,72,ALAJOGI,ALAJOE,EE,59.030833,27.393056,140,32.19,1978,2017,40,2.422997947,,,,,1978,2017,40,1.567,1.567,1.567
3618600,3,18,"ALALAU, RIO",BASE ALALAU,BR,-0.8586,-60.52,6589,59,1977,2010,34,11.7334661,1978,1980,3,0,1977,2010,34,213.329,213.329,213.329
2910645,2,10,ALAMBAY,KAZANTSEVO,RU,53.88,85.2,1440,-999,,,,,1955,1998,44,4.571428571,1955,1998,44,11.838,11.838,11.838
6233755,6,33,ALAN,LANGSJOEN,SE,65.85,21.22,42.6,-999,1958,2019,62,13.41736946,1958,2018,61,13.52459016,1958,2019,62,0.457,0.457,0.457
2998450,2,98,ALAZEYA,ANDRUSHKINO,RU,69.17,154.5,29000,-999,1978,1993,16,0.017111567,1968,1993,26,32.02614379,1968,1993,26,45.851,45.851,45.851
2998451,2,98,ALAZEYA,ARGAKHTAKH,RU,68.5,153.42,17700,-999,1962,1994,33,6.232151856,1962,2015,54,15.83850932,1962,2015,54,32.91,32.91,32.91
4214520,4,14,ALBANY RIVER,NEAR HAT ISLAND,CA,51.330555,-83.83889,118000,67,1964,2017,54,12.35717962,1964,1995,32,5.205479452,1964,2017,54,1003.245,1003.245,1003.245
4214540,4,14,ALBANY RIVER,ABOVE NOTTIK ISLAND,CA,51.64,-86.39,32400,-999,1966,2017,52,36.62762715,,,,,1966,2017,52,234.491,234.491,234.491
4214590,4,14,ALBANY RIVER,ABOVE FISHING CREEK ISLAND,CA,51.85,-82.97,-999,-999,2011,2017,7,7.978099335,,,,,2011,2017,7,982.98,982.98,982.98
6139470,6,39,ALBARINE,ST. RAMBERT,FR,45.95,5.43,232,-999,1970,1992,23,0,1970,1992,23,0,1970,1992,23,6.314,6.314,6.314
6136520,6,36,ALBE,SARRALBE (RECH),FR,48.981897,7.010775,407,251.25,1967,2007,41,4.089194287,,,,,1967,2007,41,4.166,4.166,4.166
1468800,1,68,ALBERT NILE,OUTLET,UG,2.42,31.45,-999,-999,,,,,1973,1981,9,1.851851852,1973,1981,9,1450.753,1450.753,1450.753
1473050,1,73,ALBERT NILE,PANYANGO,UG,2.65,31.65,-999,-999,,,,,1948,1970,23,0,1948,1970,23,1079.648,1079.648,1079.648
4208575,4,8,ALCES RIVER,22ND BASE LINE,CA,56.333611,-120.15472,298,-999,1963,2014,52,41.60186214,1963,1993,31,70.1897019,1963,2014,52,0.591,0.591,0.591
2910334,2,10,ALCHEDAT,TROITSKOYE,RU,56.1,86.88,617,-999,,,,,1956,1998,43,11.81102362,1956,1998,43,3.687,3.687,3.687
2903600,2,3,ALDAN,VERKHOYANSKIY PEREVOZ,RU,63.32,132.02,696000,-999,1945,1999,55,5.193309295,1942,2015,74,6.531531532,1942,2015,74,5293.803,5293.803,5293.803
2903601,2,3,ALDAN,OHOTSKY PEREVOZ,RU,61.87,135.5,514000,-999,,,,,1926,1999,74,0,1926,1999,74,4256.927,4256.927,4256.927
2903602,2,3,ALDAN,UST'-MIL',RU,59.63,133.03,269000,-999,,,,,1934,2015,82,0,1934,2015,82,2847.968,2847.968,2847.968
2903603,2,3,ALDAN,UGINO,RU,58.63,128.5,102000,-999,,,,,1973,1994,22,4.545454545,1973,1994,22,1144.678,1144.678,1144.678
2903604,2,3,ALDAN,TOMMOT,RU,58.97,126.27,49500,-999,,,,,1936,1999,64,0,1936,1999,64,528.587,528.587,528.587
2903605,2,3,ALDAN,SUON-TIIT,RU,58.07,123.72,18500,-999,,,,,1951,1999,49,1.020408163,1951,1999,49,216.819,216.819,216.819
6593500,6,93,"ALEXANDER, NAHAL",ALYASHIV,IL,32.37,34.91,953,6,1967,2018,52,0,1980,1984,5,0,1967,2018,52,0.383,0.383,0.383
4244550,4,44,ALEXIS RIVER,NEAR PORT HOPE SIMPSON,CA,52.649166,-56.871387,2310,150,1978,2018,41,0,1978,1996,19,0,1978,2018,41,52.478,52.478,52.478
