grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2908155,2,8,TUNKA,TOKUREN,RU,51.77,102.52,811,-999,,,,,1978,1990,13,3.846153846,1978,1990,13,6.693,6.693,6.693
3275250,3,75,"TUNUYAN, RIO",VALLE DE UCO,AR,-33.78,-69.25,2380,1200,1954,2015,62,0.031332528,1909,2015,107,5.188679245,1909,2015,107,28.219,28.219,28.219
2903479,2,3,TUOLBA,ALEKSEIEVKA,RU,60.4392,124.2608,14400,-999,,,,,1936,1999,64,10.51248357,1936,1999,64,63.763,63.763,63.763
3275200,3,75,"TUPUNGATO, RIO",PUNTA DE VACAS,AR,-32.85,-69.77,1800,2430,1949,2015,67,5.550294396,1949,2015,67,6.64160401,1949,2015,67,22.772,22.772,22.772
2912400,2,12,TURA,TIUMEN,RU,57.15,65.53,58500,49,,,,,1896,1998,103,0.970873786,1896,1998,103,203.378,203.378,203.378
2912401,2,12,TURA,TURINSK,RU,58.07,63.7,29000,-999,,,,,1936,1989,54,0,1936,1989,54,116.745,116.745,116.745
2912402,2,12,TURA,VERKHOTURYE,RU,58.87,60.78,5290,-999,,,,,1936,1988,53,17.9245283,1936,1988,53,25.758,25.758,25.758
2912403,2,12,TURA,AZIATSKAYA,RU,58.32,59.67,244,-999,,,,,1954,1987,34,10.91811414,1954,1987,34,1.752,1.752,1.752
4114615,4,14,"TURGEON, RIVIERE",EN AMONT DE LA RIVIERE HARRICANA,CA,49.9853,-79.0953,11200,-999,1968,2001,34,13.43417094,,,,,1968,2001,34,189.817,189.817,189.817
2311810,2,11,TURGUSUN,KUTIKHA,KZ,49.88,84.08,1200,-999,,,,,1949,1987,39,3.418803419,1949,1987,39,45.049,45.049,45.049
3650270,3,50,"TURIACU, RIO",ALTO TURI,BR,-2.9442,-45.6672,4000,-999,1971,2010,40,3.489856717,1972,1986,15,4.046242775,1971,2010,40,83.031,83.031,83.031
6142640,6,42,TURIEC,MARTIN,SK,49.0704,18.91268,827,390,1931,2017,87,0,,,,,1931,2017,87,10.201,10.201,10.201
2907019,2,7,TURKA,TURKA,RU,52.92,108.73,5050,-999,,,,,1938,1997,60,6.111111111,1938,1997,60,49.724,49.724,49.724
6607835,6,7,TURKEY BROOK,ALBANY PARK,GB,51.66882711,-0.035087687,42.2,16.6,1971,2018,48,0,,,,,1971,2018,48,0.199,0.199,0.199
4119150,4,19,TURKEY RIVER,"GARBER, IA",US,42.74,-91.2618,4001.6,193.38,1913,2019,107,5.732451153,,,,,1913,2019,107,31.279,31.279,31.279
4208258,4,8,TURNAGAIN RIVER,ABOVE SANDPILE CREEK,CA,59.064445,-127.84472,6580,-999,1967,1993,27,0.95462944,1967,1993,27,1.25,1967,1993,27,87.636,87.636,87.636
5202180,5,2,TUROSS RIVER,DS WADBILLIGA RIVER JUNCTION,AU,-36.1959,149.7616,920,64.5,1964,2007,44,0,1964,2001,38,0.445434298,1964,2007,44,7.717,7.717,7.717
5202185,5,2,TUROSS RIVER,TUROSS VALE,AU,-36.2646,149.5103,90.5,939,1948,2011,64,15.49484225,1948,2001,54,18.72074883,1948,2011,64,1.088,1.088,1.088
2911734,2,11,TURTAS,NIZHNY CHEBUNTAN,RU,58.37,75.43,9970,-999,,,,,1971,1993,23,27.20588235,1971,1993,23,44.173,44.173,44.173
2911735,2,11,TURTAS,NOVYI TURTAS,RU,58.72,69.57,8660,-999,,,,,1960,1982,23,0,1960,1982,23,40.121,40.121,40.121
4213880,4,13,TURTLE RIVER,NEAR MINE CENTRE,CA,48.849998,-92.724998,4870,363,1914,2017,104,2.697622703,,,,,1914,2017,104,38.282,38.282,38.282
2909520,2,9,TURUKHAN,YANOV STAN,RU,65.98,84.27,10100,-999,,,,,1941,1999,59,13.98305085,1941,1999,59,107.265,107.265,107.265
2912666,2,12,TUR'YA,KARPINSK,RU,59.77,59.88,480,-999,,,,,1952,1989,38,9.534368071,1952,1989,38,2.993,2.993,2.993
2908145,2,8,TUSHAMA,TUSHAMA,RU,58.3,102.78,3380,-999,,,,,1957,1987,31,0.27700831,1957,1987,31,10.726,10.726,10.726
4203860,4,3,TUTSHI RIVER,OUTLET OF TUTSHI LAKE,CA,59.946667,-134.32472,992,-999,1956,2016,61,9.192591586,1956,1993,38,7.158836689,1956,2016,61,15.874,15.874,15.874
5230600,5,30,"TUTUH, SUNGAI",LONG TERAWAN,MY,3.97,114.64,3210,18,,,,,1982,1985,4,0,1982,1985,4,222.705,222.705,222.705
2903325,2,3,TUTURA,GREHOVA,RU,54.87,105.45,7100,-999,,,,,1936,1990,55,0,1936,1990,55,34.939,34.939,34.939
2910745,2,10,TUTUYAS,TUTUYAS,RU,53.87,87.92,641,-999,,,,,1964,1994,31,0.806451613,1964,1994,31,17.977,17.977,17.977
2707800,2,7,TUUL GOL,ULAN-BATOR,MN,47.9,106.92,6300,1254,,,,,1945,1984,40,52.20125786,1945,1984,40,18.899,18.899,18.899
1837520,1,37,TUWARA,KAZAURE,NG,12.651667,8.410556,451,448,1969,1973,5,65.86141132,,,,,1969,1973,5,n.a.,n.a.,n.a.
2911400,2,11,TUY,ERMILOVKA,RU,57.63,72.92,6500,-999,,,,,1955,1989,35,2.433090024,1955,1989,35,31.578,31.578,31.578
2911401,2,11,TUY,TUYSKI,RU,57.82,73.92,3050,-999,,,,,1960,1985,26,0,1960,1985,26,14.794,14.794,14.794
3205600,3,5,"TUY, RIO",EL CLAVO,VE,10,-66,-999,-999,,,,,1973,1975,3,0,1973,1975,3,61.775,61.775,61.775
